"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98"
"11",0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,2,8,8,9,11,9,16,8,7,5,2,3,9,3,2,4,8,8,6,6,4,7,4,11,8,6,6,5,1,5,2,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12",0,0,0,0,0,0,0,0,0,0,3,5,6,9,5,0,1,0,1,10,10,11,11,10,7,7,5,4,6,3,7,9,6,5,4,3,4,1,6,1,2,4,3,2,4,4,3,5,2,3,2,0,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13",0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,2,2,5,15,14,25,27,30,19,11,2,4,1,6,4,3,1,3,4,1,2,1,1,0,1,0,0,1,1,1,1,3,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14",0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,2,4,7,14,8,10,10,5,9,9,20,14,10,16,11,12,1,6,7,3,3,3,2,3,2,0,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15",0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,1,2,3,3,9,11,10,8,11,8,4,0,5,12,11,10,11,11,8,7,9,11,6,5,3,2,5,2,0,2,0,0,1,0,0,0,1,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16",0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,2,1,4,7,9,9,5,15,10,5,6,10,5,6,8,11,6,9,9,7,5,6,2,1,6,5,2,4,2,3,1,3,2,4,1,0,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,2,5,4,3,9,7,4,3,9,5,8,9,11,7,6,7,8,8,11,7,8,2,5,4,6,8,6,3,3,4,2,2,5,1,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,4,12,10,8,9,8,6,5,6,4,6,7,7,7,3,4,5,6,7,6,7,7,5,3,4,5,4,4,1,5,5,3,3,1,3,0,1,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19",0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,2,1,4,2,7,8,4,4,4,6,4,6,9,3,12,8,10,9,5,5,2,4,8,6,8,5,10,2,3,8,4,3,5,0,2,1,5,2,0,2,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20",0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,5,8,18,15,19,20,17,8,4,1,3,3,3,4,4,1,3,3,5,7,5,4,3,4,1,5,1,2,1,2,1,4,1,2,4,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
